# キャロットクラブ2025年度 一次募集（2024年産・93頭）: 手動票読みの最終予測 vs 公式抽選最終結果
# 用途: 予測モデルのベンチマーク（予測列×結果列の相関・較正比較）。この#コメント群が唯一の説明書＝CSV単体で完結
# 機械読み込み: #で始まる行をスキップして読む（pandasなら read_csv の comment='#' 指定）。文字コードUTF-8(BOM)・カンマ区切り
# --- 列定義 ---
# year=募集年度 / no=募集番号 / name=募集名(母名の24) / region=入厩予定(関東|関西|地方) / shares=募集口数(400・地方=100) / boyu_eligible=母馬優先対象なら1
# user_p_* = 各申込階層の予測当選率(0-1・1=無抽選当選見込み・小数3桁丸め・申込締切直前に確定した値):
#   user_p_bosai=母優先枠内で×2/×1持ちの最優先併用 / user_p_bo=母優先枠内の一般出資 / user_p_x1=最優先希望×1持ち / user_p_saiyusen=最優先希望×なし / user_p_ippan=一般出資
#   boyu_eligible=0の馬は user_p_bosai/user_p_bo と res_bosai/res_bo が空欄(制度上非該当)
# official_code = 公式最終集計の決着コード: 数字(母優先対象馬のみ)=母優先枠内の決着位置(1〜4=×2/×1/×なし/一般の階層で抽選・5=枠内全当選)、
#   英字=枠外の決着位置(A〜D=×2/×1/×なし/一般の階層で抽選・E=全当選)。例: 3-B は枠内=×なし階層で抽選・枠外=×1階層で抽選
# zan_official = 公式の残口注記。残N=一次申込終了後になお残った口数(公式表記のまま・「残100以上」等の以上表記あり)。全当選(E)の馬に付く。空欄=残口記載なし(=満口)
# res_bosai/res_bo/res_x2/res_x1/res_x0/res_ippan = 階層別の結果: 当=その階層は全員当選 / 抽=抽選実施 / 落=上位階層までで満口となり当選なし / 空欄=非該当
# ×2/×1/×なし = 過去の落選補償の保有状況による優先度(×2が最上位)。階層の当選処理は ×2→×1→×なし→一般 の順
# --- 注記 ---
# 空欄の意味は2種類のみ: ①制度上の非該当(boyu_eligible=0の馬のuser_p_bosai/user_p_bo/res_bosai/res_bo) ②No.9の欠測(予測列・結果列がすべて空欄。no/name等の識別列は入っている)
# No.91は公式発表上の例外(official_code=5-Cだがres_x0=当・原表記のまま収録)
# 予測は個人の手動予測。結果はクラブ公式の一次抽選結果発表に基づく(公式表記と不一致時は公式を正とした)。生成日 2026-08-24
year,no,name,region,shares,boyu_eligible,user_p_bosai,user_p_bo,user_p_x1,user_p_saiyusen,user_p_ippan,official_code,zan_official,res_bosai,res_bo,res_x2,res_x1,res_x0,res_ippan
2025,1,ピンクアリエスの24,関東,400,1,1,1,1,1,0.21,5-D,,当,当,当,当,当,抽
2025,2,シーズアタイガーの24,関東,400,0,,,1,1,0.16,D,,,,当,当,当,抽
2025,3,シングルゲイズの24,関東,400,0,,,1,1,0.85,E,残11,,,当,当,当,当
2025,4,リカビトスの24,関東,400,1,1,0.07,1,0.529,0,5-C,,当,当,当,当,抽,落
2025,5,クオウトの24,関東,400,0,,,1,1,0.77,E,残43,,,当,当,当,当
2025,6,プレインチャントの24,関東,400,0,,,1,1,1,E,残100以上,,,当,当,当,当
2025,7,フィリアプーラの24,関東,400,1,0.63,0,0.611,0,0,3-B,,抽,落,当,抽,落,落
2025,8,ドナウデルタの24,関東,400,0,,,1,0.297,0,C,,,,当,当,抽,落
2025,9,サンクテュエールの24,関東,400,1,,,,,,,,,,,,,
2025,10,キラーグレイシスの24,関東,400,0,,,1,1,0.13,D,,,,当,当,当,抽
2025,11,ラサルダンの24,関東,400,0,,,1,1,0.55,E,残100以上,,,当,当,当,当
2025,12,ルナリアの24,関東,400,1,1,1,1,1,1,5-E,残100以上,当,当,当,当,当,当
2025,13,リュラの24,関東,400,1,1,1,1,1,0.06,5-D,,当,当,当,当,当,抽
2025,14,エスティタートの24,関東,400,1,1,0.677,1,1,0.114,5-D,,当,当,当,当,当,抽
2025,15,フォルステライトの24,関東,400,0,,,1,1,1,E,残100以上,,,当,当,当,当
2025,16,ケイティーズハートの24,関東,400,1,1,1,1,1,0.18,5-D,,当,当,当,当,当,抽
2025,17,クルミナルの24,関東,400,1,1,0.817,1,0.813,0,5-D,,当,当,当,当,当,抽
2025,18,マリアライトの24,関東,400,1,1,1,1,1,0.69,5-D,,当,当,当,当,当,抽
2025,19,エリスライトの24,関東,400,1,0.678,0,0.512,0,0,4-B,,当,抽,当,抽,落,落
2025,20,バウンスシャッセの24,関東,400,1,1,1,1,1,1,5-E,残100以上,当,当,当,当,当,当
2025,21,ボージェストの24,関東,400,0,,,1,0.207,0,C,,,,当,当,抽,落
2025,22,ターシャズスターの24,関東,400,0,,,1,1,0.64,D,,,,当,当,当,抽
2025,23,ゴールドティアの24,関東,400,1,1,1,1,1,1,5-D,,当,当,当,当,当,抽
2025,24,アシュリンの24,関東,400,0,,,1,1,1,E,残5,,,当,当,当,当
2025,25,アーズローヴァーの24,関東,400,1,1,1,1,1,0.26,4-D,,当,抽,当,当,当,抽
2025,26,ピュアブリーゼの24,関東,400,1,1,1,1,1,1,5-E,残100以上,当,当,当,当,当,当
2025,27,ローズノーブルの24,関東,400,1,0.45,0,0.434,0,0,5-A,,当,当,抽,落,落,落
2025,28,マハーバーラタの24,関東,400,0,,,1,1,1,E,残100以上,,,当,当,当,当
2025,29,ヴァルキュリアの24,関東,400,1,1,0.067,1,1,0.155,4-D,,当,抽,当,当,当,抽
2025,30,レオパルディナの24,関東,400,1,1,1,1,1,1,5-E,残100以上,当,当,当,当,当,当
2025,31,パドゥヴァルスの24,関東,400,1,1,0.445,1,0.865,0,4-D,,当,抽,当,当,当,抽
2025,32,シーズンズギフトの24,関東,400,1,1,0.36,1,1,0.04,4-D,,当,抽,当,当,当,抽
2025,33,レーヴディソールの24,関東,400,0,,,1,1,0.89,D,,,,当,当,当,抽
2025,34,クレアドールの24,関東,400,0,,,1,1,0.64,D,,,,当,当,当,抽
2025,35,アンフィトリテの24,関東,400,1,1,1,1,1,0.11,4-D,,当,抽,当,当,当,抽
2025,36,クルークハイトの24,関東,400,1,1,0.462,1,0.653,0,4-C,,当,抽,当,当,抽,落
2025,37,ライジングクロスの24,関東,400,0,,,1,1,1,E,残22,,,当,当,当,当
